case_id,analyst_id,analyst_name,assigned_date,allocation_status,manager_override
C00001,A011,Patrick Nolan,2026-02-04 13:06:08.718379,Delayed,1
C00002,A006,Aoife Brennan,2025-11-01 13:06:08.718379,Completed,0
C00003,A003,Emma Walsh,2026-05-14 13:06:08.718379,Completed,0
C00004,A016,Daniel Clarke,2026-06-25 13:06:08.719396,Completed,0
C00005,A003,Emma Walsh,2025-09-19 13:06:08.719396,Completed,0
C00006,A018,Kevin Reilly,2025-12-03 13:06:08.719396,Delayed,0
C00007,A018,Kevin Reilly,2026-04-10 13:06:08.719396,Completed,1
C00008,A018,Kevin Reilly,2025-07-13 13:06:08.720396,Completed,1
C00009,A013,Brian O'Sullivan,2026-07-09 13:06:08.720396,Completed,0
C00010,A010,Laura Hughes,2025-10-18 13:06:08.720396,Delayed,0
C00011,A010,Laura Hughes,2025-07-18 13:06:08.720396,Completed,0
C00012,A012,Rachel McCarthy,2025-07-23 13:06:08.720396,Completed,0
C00013,A002,Sarah O'Connor,2026-06-02 13:06:08.720396,Completed,0
C00014,A011,Patrick Nolan,2025-12-23 13:06:08.721796,Completed,1
C00015,A009,Conor Flynn,2026-04-12 13:06:08.721796,Completed,0
C00016,A018,Kevin Reilly,2025-11-17 13:06:08.722302,Completed,1
C00017,A013,Brian O'Sullivan,2026-02-07 13:06:08.722302,Escalated,1
C00018,A008,Niamh Ryan,2026-01-08 13:06:08.722302,Escalated,0
C00019,A003,Emma Walsh,2026-01-11 13:06:08.723311,Completed,0
C00020,A003,Emma Walsh,2025-07-30 13:06:08.723311,Completed,0
C00021,A002,Sarah O'Connor,2026-01-13 13:06:08.723311,Completed,0
C00022,A016,Daniel Clarke,2025-07-17 13:06:08.723311,Completed,0
C00023,A011,Patrick Nolan,2025-09-09 13:06:08.724310,Completed,0
C00024,A010,Laura Hughes,2025-08-22 13:06:08.724310,Completed,0
C00025,A014,James Fitzgerald,2025-07-12 13:06:08.724310,Completed,0
C00026,A003,Emma Walsh,2026-03-12 13:06:08.724310,Completed,1
C00027,A014,James Fitzgerald,2026-02-21 13:06:08.725329,Completed,0
C00028,A001,John Murphy,2026-07-08 13:06:08.725329,Completed,1
C00029,A001,John Murphy,2025-07-29 13:06:08.726462,Completed,0
C00030,A002,Sarah O'Connor,2026-04-13 13:06:08.726462,Completed,0
C00031,A011,Patrick Nolan,2025-08-09 13:06:08.726462,Delayed,0
C00032,A007,Michael Doyle,2025-07-13 13:06:08.727462,Completed,0
C00033,A004,David Byrne,2025-12-06 13:06:08.727462,Completed,0
C00034,A008,Niamh Ryan,2025-12-04 13:06:08.727462,Delayed,1
C00035,A005,Mark Kelly,2025-10-31 13:06:08.728462,Delayed,0
C00036,A004,David Byrne,2026-01-20 13:06:08.728462,Completed,0
C00037,A006,Aoife Brennan,2026-03-27 13:06:08.728462,Completed,0
C00038,A010,Laura Hughes,2026-01-05 13:06:08.728462,Escalated,0
C00039,A002,Sarah O'Connor,2026-03-22 13:06:08.729461,Completed,0
C00040,A002,Sarah O'Connor,2026-06-22 13:06:08.729461,Completed,0
C00041,A003,Emma Walsh,2025-08-23 13:06:08.729461,Completed,1
C00042,A010,Laura Hughes,2025-12-26 13:06:08.730461,Completed,0
C00043,A001,John Murphy,2026-01-23 13:06:08.730461,Completed,1
C00044,A007,Michael Doyle,2026-03-21 13:06:08.730461,Delayed,0
C00045,A016,Daniel Clarke,2026-04-30 13:06:08.731461,Completed,0
C00046,A008,Niamh Ryan,2026-01-08 13:06:08.731461,Escalated,0
C00047,A005,Mark Kelly,2026-04-24 13:06:08.731461,Completed,0
